Sample_ID,Dose_Ratio,SUVmax_Bias_In(%),MAPE_In(%),CR_In(%),SUVmax_Bias_Out(%),MAPE_Out(%),CR_Out(%)
P0017_D2_Z0060,0.500,16.7490,23.5402,97.3307,15.9570,18.0886,98.2279
P0017_D2_Z0061,0.500,18.3064,22.4039,105.1854,14.4399,17.7301,98.9934
P0017_D2_Z0062,0.500,17.5555,26.6837,99.5900,10.0412,23.1022,93.3488
P0017_D2_Z0063,0.500,-2.0251,26.3909,103.5099,-2.5582,22.2099,92.7013
P0017_D2_Z0064,0.500,0.3218,35.4527,103.2960,-26.8526,24.8634,93.7395
P0017_D2_Z0065,0.500,2.5140,27.4257,102.1244,-2.0353,23.5025,92.9511
P0017_D2_Z0066,0.500,28.4068,29.3909,102.5127,28.5864,20.8159,94.8024
P0017_D2_Z0067,0.500,-19.6932,31.8585,99.5700,-54.1787,18.2041,93.2960
P0017_D2_Z0068,0.500,-11.2420,27.4088,102.9400,-39.1839,17.3836,94.9277
P0017_D2_Z0069,0.500,24.1144,29.3568,105.5738,-23.1366,17.4485,95.6257
P0017_D2_Z0070,0.500,-13.9675,20.8963,101.8252,-41.4296,20.6648,92.0525
P0017_D2_Z0071,0.500,-6.8357,21.3242,94.9040,-22.8802,17.7084,82.1013
P0017_D2_Z0072,0.500,8.0599,18.5265,100.0818,-23.6362,22.4357,80.6414
P0017_D2_Z0073,0.500,11.1075,22.9985,99.5793,-12.3770,19.8559,84.7610
P0017_D2_Z0074,0.500,-24.7747,24.8946,95.2809,-47.9609,22.2030,87.4960
P0017_D2_Z0075,0.500,-1.2806,33.2977,95.8959,-36.9910,20.4359,89.5370
P0017_D2_Z0076,0.500,31.9974,31.4199,99.2372,-4.9620,16.8410,92.5292
P0017_D2_Z0077,0.500,20.2966,27.8130,98.4060,6.7167,17.7992,92.2512
P0017_D2_Z0078,0.500,32.3690,30.2349,97.4672,18.3227,20.5881,89.5331
P0017_D2_Z0079,0.500,47.5106,31.0878,94.0670,35.9052,18.3138,88.2965
P0017_D2_Z0080,0.500,29.6579,32.3703,96.7591,8.1160,15.7679,89.6569
P0017_D2_Z0081,0.500,66.8542,37.5186,93.6511,-8.4986,18.0779,86.0555
P0017_D2_Z0082,0.500,84.7375,35.7566,93.1473,12.9745,17.4218,85.4145
P0017_D2_Z0083,0.500,12.2872,34.4103,92.4296,-22.3771,16.4639,84.2403
P0017_D2_Z0084,0.500,12.8262,36.0102,98.5133,-31.4925,17.2868,85.9435
P0017_D2_Z0085,0.500,39.2260,33.9833,102.2223,-7.8853,15.9621,88.2343
P0017_D2_Z0086,0.500,35.3236,33.7257,100.9414,-13.4787,15.8938,86.2064
P0017_D2_Z0087,0.500,-6.6370,33.9132,103.1088,-29.1750,18.3448,94.4608
P0017_D2_Z0088,0.500,23.1944,33.9548,100.3491,-25.9685,17.7219,93.9521
P0017_D2_Z0089,0.500,178.1369,36.9047,96.3525,27.0204,18.1156,90.3815
P0017_D2_Z0090,0.500,51.9786,35.9954,95.6594,-10.7094,17.3615,89.3071
P0017_D2_Z0091,0.500,33.5766,36.0931,98.4395,-8.4606,17.6140,90.9827
P0017_D2_Z0092,0.500,33.9691,33.9078,104.9589,-2.2598,17.5128,97.6080
P0017_D2_Z0093,0.500,12.0176,31.0984,101.8864,-36.7379,20.8238,93.3071
P0017_D2_Z0094,0.500,-7.0271,27.1022,98.7276,-46.4173,17.8526,90.8521
P0017_D2_Z0095,0.500,23.4921,35.4544,99.9737,-27.1823,19.9189,90.4955
P0017_D2_Z0096,0.500,50.0227,36.4347,102.2411,-10.2618,18.0561,93.5158
P0017_D2_Z0097,0.500,98.5819,37.2841,105.4714,-13.4145,17.7969,96.2567
